,Time Stamp,Load (MW),P1,P2,P3
79,2018-01-01 19:45:00,69.42643391521197,20.0,40.0,9.4264339
80,2018-01-01 20:00:00,69.22693266832918,20.0,40.0,9.2269327
81,2018-01-01 20:15:00,70.22443890274315,20.0,40.0,10.224439
82,2018-01-01 20:30:00,71.6209476309227,20.0,40.0,11.620948
83,2018-01-01 20:45:00,72.01995012468828,20.0,40.0,12.01995
84,2018-01-01 21:00:00,68.6284289276808,20.0,40.0,8.6284289
85,2018-01-01 21:15:00,67.43142144638404,20.0,40.0,7.4314214
86,2018-01-01 21:30:00,66.23441396508728,20.0,40.0,6.234414
87,2018-01-01 21:45:00,66.23441396508728,20.0,40.0,6.234414
88,2018-01-01 22:00:00,64.03990024937656,20.0,40.0,4.0399002
89,2018-01-01 22:15:00,62.244389027431424,20.0,40.0,2.244389
90,2018-01-01 22:30:00,60.0498753117207,20.0,40.0,0.049875312
91,2018-01-01 22:45:00,59.85037406483791,20.0,39.850374,0.0
92,2018-01-01 23:00:00,61.24688279301746,20.0,40.0,1.2468828
93,2018-01-01 23:15:00,62.64339152119701,20.0,40.0,2.6433915
94,2018-01-01 23:30:00,65.23690773067332,20.0,40.0,5.2369077
95,2018-01-01 23:45:00,65.03740648379053,20.0,40.0,5.0374065
96,2018-01-02 00:00:00,63.84039900249377,20.0,40.0,3.840399
97,2018-01-02 00:15:00,68.02992518703242,20.0,40.0,8.0299252
98,2018-01-02 00:30:00,67.43142144638404,20.0,40.0,7.4314214
99,2018-01-02 00:45:00,66.63341645885288,20.0,40.0,6.6334165
100,2018-01-02 01:00:00,64.03990024937656,20.0,40.0,4.0399002
101,2018-01-02 01:15:00,61.84538653366584,20.0,40.0,1.8453865
102,2018-01-02 01:30:00,61.44638403990025,20.0,40.0,1.446384
103,2018-01-02 01:45:00,65.43640897755611,20.0,40.0,5.436409
104,2018-01-02 02:00:00,65.83541147132169,20.0,40.0,5.8354115
105,2018-01-02 02:15:00,61.84538653366584,20.0,40.0,1.8453865
106,2018-01-02 02:30:00,61.64588528678304,20.0,40.0,1.6458853
107,2018-01-02 02:45:00,63.241895261845386,20.0,40.0,3.2418953
108,2018-01-02 03:00:00,64.03990024937656,20.0,40.0,4.0399002
109,2018-01-02 03:15:00,64.63840399002494,20.0,40.0,4.638404
110,2018-01-02 03:30:00,63.64089775561098,20.0,40.0,3.6408978
111,2018-01-02 03:45:00,64.23940149625935,20.0,40.0,4.2394015
112,2018-01-02 04:00:00,62.044887780548635,20.0,40.0,2.0448878
113,2018-01-02 04:15:00,63.042394014962596,20.0,40.0,3.042394
114,2018-01-02 04:30:00,62.84289276807981,20.0,40.0,2.8428928
115,2018-01-02 04:45:00,63.042394014962596,20.0,40.0,3.042394
116,2018-01-02 05:00:00,64.63840399002494,20.0,40.0,4.638404
117,2018-01-02 05:15:00,67.23192019950125,20.0,40.0,7.2319202
118,2018-01-02 05:30:00,65.43640897755611,20.0,40.0,5.436409
119,2018-01-02 05:45:00,66.0349127182045,20.0,40.0,6.0349127
120,2018-01-02 06:00:00,64.23940149625935,20.0,40.0,4.2394015
121,2018-01-02 06:15:00,65.03740648379053,20.0,40.0,5.0374065
122,2018-01-02 06:30:00,69.82543640897757,20.0,40.0,9.8254364
123,2018-01-02 06:45:00,72.01995012468828,20.0,40.0,12.01995
124,2018-01-02 07:00:00,70.62344139650872,20.0,40.0,10.623441
125,2018-01-02 07:15:00,67.23192019950125,20.0,40.0,7.2319202
126,2018-01-02 07:30:00,70.22443890274315,20.0,40.0,10.224439
127,2018-01-02 07:45:00,73.41645885286783,20.0,40.0,13.416459
128,2018-01-02 08:00:00,74.214463840399,20.0,40.0,14.214464
129,2018-01-02 08:15:00,72.81795511221945,20.0,40.0,12.817955
130,2018-01-02 08:30:00,70.02493765586036,20.0,40.0,10.024938
131,2018-01-02 08:45:00,70.62344139650872,20.0,40.0,10.623441
132,2018-01-02 09:00:00,71.42144638403991,20.0,40.0,11.421446
133,2018-01-02 09:15:00,70.22443890274315,20.0,40.0,10.224439
134,2018-01-02 09:30:00,72.41895261845387,20.0,40.0,12.418953
135,2018-01-02 09:45:00,75.41147132169576,20.0,40.0,15.411471
136,2018-01-02 10:00:00,76.80798004987531,20.0,40.0,16.80798
137,2018-01-02 10:15:00,75.01246882793018,20.0,40.0,15.012469
138,2018-01-02 10:30:00,75.61097256857856,20.0,40.0,15.610973
139,2018-01-02 10:45:00,75.41147132169576,20.0,40.0,15.411471
140,2018-01-02 11:00:00,78.00498753117208,20.0,40.0,18.004988
141,2018-01-02 11:15:00,79.40149625935163,20.0,40.0,19.401496
142,2018-01-02 11:30:00,78.40399002493766,20.0,40.0,18.40399
143,2018-01-02 11:45:00,75.81047381546135,20.0,40.0,15.810474
144,2018-01-02 12:00:00,74.4139650872818,20.0,40.0,14.413965
145,2018-01-02 12:15:00,74.214463840399,20.0,40.0,14.214464
