,Time Stamp,Load (MW),P1,P2,P3
0,2018-01-01 00:00:00,63.042394014962596,20,40.0,3.0423940149625963
1,2018-01-01 00:15:00,66.83291770573567,20,40.0,6.832917705735667
2,2018-01-01 00:30:00,66.83291770573567,20,40.0,6.832917705735667
3,2018-01-01 00:45:00,66.63341645885288,20,40.0,6.633416458852878
4,2018-01-01 01:00:00,65.03740648379053,20,40.0,5.037406483790534
5,2018-01-01 01:15:00,62.443890274314214,20,40.0,2.4438902743142137
6,2018-01-01 01:30:00,62.244389027431424,20,40.0,2.244389027431424
7,2018-01-01 01:45:00,66.0349127182045,20,40.0,6.034912718204495
8,2018-01-01 02:00:00,67.03241895261846,20,40.0,7.032418952618457
9,2018-01-01 02:15:00,61.24688279301746,20,40.0,1.2468827930174626
10,2018-01-01 02:30:00,60.44887780548629,20,40.0,0.4488778054862905
11,2018-01-01 02:45:00,62.044887780548635,20,40.0,2.0448877805486347
12,2018-01-01 03:00:00,64.23940149625935,20,40.0,4.239401496259347
13,2018-01-01 03:15:00,64.83790523690773,20,40.0,4.83790523690773
14,2018-01-01 03:30:00,64.03990024937656,20,40.0,4.039900249376558
15,2018-01-01 03:45:00,64.43890274314215,20,40.0,4.438902743142151
16,2018-01-01 04:00:00,66.0349127182045,20,40.0,6.034912718204495
17,2018-01-01 04:15:00,64.63840399002494,20,40.0,4.6384039900249405
18,2018-01-01 04:30:00,63.44139650872818,20,40.0,3.4413965087281824
19,2018-01-01 04:45:00,63.64089775561098,20,40.0,3.640897755610979
20,2018-01-01 05:00:00,65.03740648379053,20,40.0,5.037406483790534
21,2018-01-01 05:15:00,66.83291770573567,20,40.0,6.832917705735667
22,2018-01-01 05:30:00,66.23441396508728,20,40.0,6.234413965087285
23,2018-01-01 05:45:00,65.03740648379053,20,40.0,5.037406483790534
24,2018-01-01 06:00:00,64.23940149625935,20,40.0,4.239401496259347
25,2018-01-01 06:15:00,65.43640897755611,20,40.0,5.436408977556113
26,2018-01-01 06:30:00,70.42394014962593,20,40.0,10.423940149625935
27,2018-01-01 06:45:00,70.22443890274315,20,40.0,10.224438902743145
28,2018-01-01 07:00:00,69.62593516209476,20,40.0,9.625935162094763
29,2018-01-01 07:15:00,69.22693266832918,20,40.0,9.226932668329184
30,2018-01-01 07:30:00,71.82044887780549,20,40.0,11.82044887780549
31,2018-01-01 07:45:00,73.61596009975062,20,40.0,13.615960099750623
32,2018-01-01 08:00:00,74.01496259351622,20,40.0,14.014962593516216
33,2018-01-01 08:15:00,71.82044887780549,20,40.0,11.82044887780549
34,2018-01-01 08:30:00,69.22693266832918,20,40.0,9.226932668329184
35,2018-01-01 08:45:00,69.42643391521197,20,40.0,9.426433915211973
36,2018-01-01 09:00:00,68.6284289276808,20,40.0,8.628428927680801
37,2018-01-01 09:15:00,68.6284289276808,20,40.0,8.628428927680801
38,2018-01-01 09:30:00,71.42144638403991,20,40.0,11.42144638403991
39,2018-01-01 09:45:00,75.61097256857856,20,40.0,15.61097256857856
40,2018-01-01 10:00:00,75.61097256857856,20,40.0,15.61097256857856
41,2018-01-01 10:15:00,74.6134663341646,20,40.0,14.613466334164599
42,2018-01-01 10:30:00,74.4139650872818,20,40.0,14.413965087281795
43,2018-01-01 10:45:00,75.01246882793018,20,40.0,15.012468827930178
44,2018-01-01 11:00:00,77.2069825436409,20,40.0,17.206982543640905
45,2018-01-01 11:15:00,79.00249376558604,20,40.0,19.00249376558604
46,2018-01-01 11:30:00,78.00498753117208,20,40.0,18.004987531172077
47,2018-01-01 11:45:00,75.81047381546135,20,40.0,15.81047381546135
48,2018-01-01 12:00:00,74.6134663341646,20,40.0,14.613466334164599
49,2018-01-01 12:15:00,74.4139650872818,20,40.0,14.413965087281795
50,2018-01-01 12:30:00,75.81047381546135,20,40.0,15.81047381546135
51,2018-01-01 12:45:00,77.60598503740648,20,40.0,17.605985037406484
52,2018-01-01 13:00:00,75.41147132169576,20,40.0,15.411471321695757
53,2018-01-01 13:15:00,74.214463840399,20,40.0,14.214463840399006
54,2018-01-01 13:30:00,73.61596009975062,20,40.0,13.615960099750623
55,2018-01-01 13:45:00,76.60847880299252,20,40.0,16.608478802992522
56,2018-01-01 14:00:00,78.20448877805487,20,40.0,18.204488778054866
57,2018-01-01 14:15:00,77.2069825436409,20,40.0,17.206982543640905
58,2018-01-01 14:30:00,75.01246882793018,20,40.0,15.012468827930178
59,2018-01-01 14:45:00,76.20947630922694,20,40.0,16.209476309226943
60,2018-01-01 15:00:00,75.21197007481297,20,40.0,15.211970074812967
61,2018-01-01 15:15:00,75.81047381546135,20,40.0,15.81047381546135
62,2018-01-01 15:30:00,76.00997506234414,20,40.0,16.00997506234414
63,2018-01-01 15:45:00,77.80548628428929,20,40.0,17.805486284289287
64,2018-01-01 16:00:00,76.40897755610973,20,40.0,16.408977556109733
65,2018-01-01 16:15:00,75.01246882793018,20,40.0,15.012468827930178
66,2018-01-01 16:30:00,74.4139650872818,20,40.0,14.413965087281795
67,2018-01-01 16:45:00,76.00997506234414,20,40.0,16.00997506234414
68,2018-01-01 17:00:00,75.21197007481297,20,40.0,15.211970074812967
69,2018-01-01 17:15:00,74.214463840399,20,40.0,14.214463840399006
70,2018-01-01 17:30:00,69.42643391521197,20,40.0,9.426433915211973
